,drybulb_C,relhum_percent,atmos_Pa,dewpoint_C,glohorrad_Whm2,date_range,dayofyear,hour,hourly_clearness,daily_clearness,rise_set,row_number,persisted_index,local_solar_time,zenith,solar_alt,difhorrad_Whm2,dirnorrad_Whm2,totskycvr_tenths,opaqskycvr_tenths,windspd_ms
97,2.6,61.6086657368973,82827.91591527677,-4.0,0,1987-01-05 01:00:00,5,1,0.0,0.5759509828950727,Neither,97,0.0,0.9060004502078566,159.12033473830797,-69.12033473830797,0,,0,0,0.0
98,-0.2,82.14488764919639,82827.91591527677,-2.9,0,1987-01-05 02:00:00,5,2,0.0,0.5759509828950727,Neither,98,0.0,1.9060004502078567,150.27782970243703,-60.27782970243703,0,,6,2,2.9789228449531313
99,6.5,43.3542462592981,82727.91591527677,-5.1,0,1987-01-05 03:00:00,5,3,0.0,0.5759509828950727,Neither,99,0.0,2.9060004502078565,139.4893205622072,-49.48932056220721,0,,6,2,3.459394271558475
100,7.6,39.93154260724825,82727.91591527677,-5.1,0,1987-01-05 04:00:00,5,4,0.0,0.5759509828950727,Neither,100,0.0,3.9060004502078565,128.11380787157844,-38.113807871578445,0,,7,4,4.9969028366955754
101,10.4,30.80433286844865,82727.91591527677,-6.1,0,1987-01-05 05:00:00,5,5,0.0,0.5759509828950727,Neither,101,0.0,4.9060004502078565,116.67943209235942,-26.67943209235942,0,,9,7,6.91878854311695
102,10.9,29.663431651098698,82627.91591527677,-6.1,0,1987-01-05 06:00:00,5,6,0.0,0.5759509828950727,Sunrise,102,0.4864864864864865,5.9060004502078565,105.48909586338685,-15.48909586338685,0,,10,7,7.399259969722294
103,11.5,28.52253043374875,82527.91591527677,-6.1,18,1987-01-05 07:00:00,5,7,0.4864864864864865,0.5759509828950727,Neither,103,0.211864406779661,6.9060004502078565,94.80603792288717,-4.806037922887171,12,,9,7,6.438317116511606
104,12.6,29.663431651098698,82627.91591527677,-4.7,100,1987-01-05 08:00:00,5,8,0.423728813559322,0.5759509828950727,Neither,104,0.4743753187149414,7.9060004502078565,84.93194490298163,5.068055097018373,71,336.1912668643471,5,4,4.9969028366955754
105,14.3,25.0998267816989,82527.91591527677,-5.4,196,1987-01-05 09:00:00,5,9,0.46226415094339623,0.5759509828950727,Neither,105,0.5249234407689276,8.906000450207857,76.25569606180467,13.74430393819533,129,449.5590097563615,3,2,7.399259969722294
106,15.9,23.95892556434895,82327.91591527677,-4.7,350,1987-01-05 10:00:00,5,10,0.6261180679785331,0.5759509828950727,Neither,106,0.557356404065695,9.906000450207857,69.27985101232625,20.720148987673753,138,766.6395025506292,1,1,5.957845689906263
107,13.7,34.2270365204985,82227.91591527677,-1.8,413,1987-01-05 11:00:00,5,11,0.6524486571879937,0.5759509828950727,Neither,107,0.6141510776710137,10.906000450207857,64.59162859085345,25.408371409146554,142,701.8583401823082,0,0,5.477374263300919
108,12.0,37.64974017254835,82127.91591527677,-2.0,386,1987-01-05 12:00:00,5,12,0.6021840873634945,0.5759509828950727,Neither,108,0.6498043630174049,11.906000450207857,62.72557085594618,27.27442914405382,159,525.3424534871638,3,3,3.459394271558475
109,12.6,37.64974017254835,82027.91591527677,-1.5,376,1987-01-05 13:00:00,5,13,0.6471600688468159,0.5759509828950727,Neither,109,0.5855559386489244,12.906000450207857,63.93610320248666,26.063896797513337,134,562.7314635078853,1,1,3.459394271558475
110,13.2,35.36793773784845,81927.91591527677,-1.8,260,1987-01-05 14:00:00,5,14,0.5689277899343544,0.5759509828950727,Neither,110,0.5575086058519794,13.906000450207857,68.0551406273614,21.944859372638604,126,282.0966323322732,4,4,2.9789228449531313
