,0,1,2,3,4,5,6,7,8,9,10,11,12,vintage,cz,scen_year,scenario,year
2_2_4_4,0.0,44.57,3.94,0.0,2.67,59.67,4235.7,11.8,0.0,0.0,0.0,12.74,1.16,new,2b,historical,2020,RefBldgMediumOffice
2_2_4_5,0.0,0.47,0.07,0.0,0.0,1718.17,7543.8,2.43,0.0,0.0,0.0,564.62,0.01,new,2b,historical,2020,RefBldgMidriseApartment
2_2_5_4,0.0,48.9,3.27,0.0,3.5,54.67,4235.6,11.9,0.0,0.0,0.0,11.95,1.47,new,2b,historical,2020,RefBldgMediumOffice
2_2_5_5,0.0,0.71,0.0,0.0,0.0,1609.67,7544.52,1.7,0.0,0.0,0.0,505.95,0.01,new,2b,historical,2020,RefBldgMidriseApartment
2_2_6_4,0.0,43.01,4.15,0.0,2.83,72.17,4234.21,13.29,0.0,0.0,0.0,13.61,1.28,new,2b,historical,2020,RefBldgMediumOffice
2_2_6_5,0.0,0.5,0.06,0.0,0.0,1858.17,7538.43,7.8,0.0,0.0,0.0,685.54,0.01,new,2b,historical,2020,RefBldgMidriseApartment
2_2_7_4,0.0,38.39,4.94,0.0,2.67,84.83,4232.57,14.93,0.0,0.0,0.0,15.35,1.19,new,2b,historical,2020,RefBldgMediumOffice
2_2_7_5,0.0,0.39,0.17,0.0,0.0,2029.17,7529.34,16.88,0.0,0.0,0.0,841.74,0.01,new,2b,historical,2020,RefBldgMidriseApartment
2_2_8_4,0.0,34.96,5.66,0.0,2.67,97.5,4231.44,16.06,0.0,0.0,0.0,17.83,1.11,new,2b,historical,2020,RefBldgMediumOffice
2_2_8_5,0.0,0.32,0.31,0.0,0.0,2163.5,7519.23,26.99,0.0,0.0,0.0,980.24,0.01,new,2b,historical,2020,RefBldgMidriseApartment
2_2_9_4,0.0,47.05,4.13,0.0,3.0,71.5,4235.2,12.3,0.0,0.0,0.0,13.46,1.41,new,2b,historical,2020,RefBldgMediumOffice
2_2_9_5,0.0,0.71,0.06,0.0,0.0,1717.5,7542.42,3.8,0.0,0.0,0.0,569.15,0.01,new,2b,historical,2020,RefBldgMidriseApartment
2_2_10_4,0.0,36.11,5.76,0.0,2.67,115.17,4231.51,15.99,0.0,0.0,0.0,19.76,1.12,new,2b,historical,2020,RefBldgMediumOffice
2_2_10_5,0.0,0.33,0.6,0.0,0.0,2123.0,7511.16,35.06,0.0,0.0,0.0,970.18,0.01,new,2b,historical,2020,RefBldgMidriseApartment
2_2_11_4,0.0,27.25,7.42,0.0,2.33,175.0,4226.82,20.68,0.0,0.0,0.0,34.61,0.86,new,2b,historical,2020,RefBldgMediumOffice
2_2_11_5,0.0,0.21,7.63,0.0,0.0,2542.17,7409.72,136.51,0.0,0.0,0.0,1580.95,0.01,new,2b,historical,2020,RefBldgMidriseApartment
2_2_12_4,0.0,20.45,10.26,0.0,1.83,302.17,4223.29,24.21,0.0,0.0,0.0,80.21,0.64,new,2b,historical,2020,RefBldgMediumOffice
2_2_12_5,0.0,0.14,60.02,0.0,0.0,2981.67,7168.22,375.6,2.41,0.0,0.0,2611.52,0.01,new,2b,historical,2020,RefBldgMidriseApartment
2_3_0_4,0.0,141.62,0.06,0.0,8.67,1.0,4232.79,14.71,0.0,0.0,0.0,2.97,5.34,new,3a,historical,2020,RefBldgMediumOffice
2_3_0_5,0.0,13.55,0.0,0.0,0.0,75.0,7546.22,0.0,0.0,0.0,0.0,23.93,0.04,new,3a,historical,2020,RefBldgMidriseApartment
2_3_1_4,0.0,93.82,0.63,0.0,7.0,3.33,4220.02,27.48,0.0,0.0,0.0,5.78,4.22,new,3a,historical,2020,RefBldgMediumOffice
2_3_1_5,0.0,6.51,0.01,0.0,0.0,737.17,7546.22,0.0,0.0,0.0,0.0,224.18,0.02,new,3a,historical,2020,RefBldgMidriseApartment
2_3_2_4,0.0,88.04,0.89,0.0,6.67,3.83,4218.4,29.1,0.0,0.0,0.0,5.96,4.06,new,3a,historical,2020,RefBldgMediumOffice
2_3_2_5,0.0,5.55,0.07,0.0,0.0,869.33,7546.22,0.0,0.0,0.0,0.0,292.16,0.03,new,3a,historical,2020,RefBldgMidriseApartment
2_3_3_4,0.0,85.43,0.91,0.0,6.5,5.67,4217.6,29.9,0.0,0.0,0.0,6.14,3.92,new,3a,historical,2020,RefBldgMediumOffice
2_3_3_5,0.0,5.27,0.07,0.0,0.0,927.17,7546.22,0.0,0.0,0.0,0.0,320.75,0.03,new,3a,historical,2020,RefBldgMidriseApartment
2_3_4_4,0.0,86.03,0.81,0.0,6.5,5.17,4217.62,29.88,0.0,0.0,0.0,6.1,3.95,new,3a,historical,2020,RefBldgMediumOffice
2_3_4_5,0.0,5.54,0.04,0.0,0.0,895.5,7546.22,0.0,0.0,0.0,0.0,305.29,0.02,new,3a,historical,2020,RefBldgMidriseApartment
2_3_5_4,0.0,91.51,0.43,0.0,7.17,5.17,4219.25,28.25,0.0,0.0,0.0,5.93,4.21,new,3a,historical,2020,RefBldgMediumOffice
2_3_5_5,0.0,5.97,0.0,0.0,0.0,867.83,7546.22,0.01,0.0,0.0,0.0,288.46,0.02,new,3a,historical,2020,RefBldgMidriseApartment
2_3_6_4,0.0,81.17,0.66,0.0,6.5,8.0,4216.1,31.4,0.0,0.0,0.0,6.57,3.89,new,3a,historical,2020,RefBldgMediumOffice
2_3_6_5,0.0,4.82,0.01,0.0,0.0,1109.83,7545.81,0.41,0.0,0.0,0.0,439.73,0.02,new,3a,historical,2020,RefBldgMidriseApartment
2_3_7_4,0.0,73.16,0.97,0.0,6.33,11.5,4212.78,34.72,0.0,0.0,0.0,7.97,3.63,new,3a,historical,2020,RefBldgMediumOffice
