,drybulb_C,relhum_percent,atmos_Pa,dewpoint_C,glohorrad_Whm2,dayofyear,hour,hourly_clearness,daily_clearness,rise_set,row_number,persisted_index,local_solar_time,zenith,solar_alt,difhorrad_Whm2,dirnorrad_Whm2,totskycvr_tenths,opaqskycvr_tenths,windspd_ms
49,-11.1,91.32845277806562,97492.4704483596,-12.2,0,3,1,0.0,0.3855465884079237,Neither,49,0.0,0.7887138841780029,154.21933834203807,-64.21933834203807,0,-0.0,10,10,2.960301119136113
50,-10.9,93.79678933963496,97492.4704483596,-11.7,0,3,2,0.0,0.3855465884079237,Neither,50,0.0,1.7887138841780028,147.81111149070264,-57.81111149070264,0,-0.0,10,10,2.654063072328929
51,-10.7,91.32845277806562,97492.4704483596,-11.8,0,3,3,0.0,0.3855465884079237,Neither,51,0.0,2.788713884178003,138.91769588471743,-48.91769588471743,0,-0.0,10,10,2.245745676586017
52,-10.6,87.62594793571161,97492.4704483596,-12.3,0,3,4,0.0,0.3855465884079237,Neither,52,0.0,3.788713884178003,128.9889785647072,-38.988978564707196,0,-0.0,10,10,1.9395076297788325
53,-10.4,85.15761137414226,97492.4704483596,-12.4,0,3,5,0.0,0.3855465884079237,Sunrise,53,0.0,4.788713884178003,118.7500637418914,-28.750063741891395,0,-0.0,10,10,1.5311902340359205
54,-9.8,87.62594793571161,97492.4704483596,-11.5,0,3,6,0.0,0.3855465884079237,Neither,54,0.0,5.788713884178003,108.62118562926916,-18.621185629269164,0,-0.0,10,10,1.0207934893572803
55,-9.4,91.32845277806562,97492.4704483596,-10.5,0,3,7,0.0,0.3855465884079237,Neither,55,0.10096153846153846,6.788713884178003,98.92479719305194,-8.924797193051944,0,-0.0,10,10,0.5103967446786402
56,-8.8,93.79678933963496,97492.4704483596,-9.6,21,3,8,0.20192307692307693,0.3855465884079237,Neither,56,0.2354014598540146,7.788713884178003,89.98007963125185,0.019920368748145734,20,0.0,10,10,0.0
57,-7.7,93.79678933963496,97392.4704483596,-8.5,129,3,9,0.4708029197080292,0.3855465884079237,Neither,57,0.3278942067907155,8.788713884178003,82.15117924879725,7.8488207512027515,98,227.0069056651197,8,8,1.5311902340359205
58,-6.6,95.03095762041963,97392.4704483596,-7.3,182,3,10,0.4538653366583541,0.3855465884079237,Neither,58,0.440042810064985,9.788713884178003,75.86410917830122,14.13589082169878,138,180.1635770971699,7,6,3.164459817007569
59,-5.5,95.03095762041963,97392.4704483596,-6.2,194,3,11,0.4092827004219409,0.3855465884079237,Neither,59,0.4250846190478629,10.788713884178003,71.57855758517076,18.421442414829244,158,113.92256427017416,5,4,4.695650051043489
