,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2_2_8_4,21602.35,15.31,16936.84,4395.85,2076.5,173594.24,121602.66,17.83,32055.75,144217.55,29376.69,2679.07,16.92,91.64,79502.82,66175.31,13327.51
2_2_8_5,0.0,6923.64,4417.71,1541.98,23809.75,55157.18,60040.57,16.93,11470.0,45416.48,9740.69,1729.31,17.66,84.92,29655.8,25238.27,4417.53
2_2_9_4,23498.37,44.13,14666.44,4366.36,2105.32,173190.38,123130.33,16.99,32668.69,143415.8,29774.59,2894.1,17.19,91.14,79324.92,65809.86,13515.06
2_2_9_5,0.0,8463.46,3735.19,1500.21,25349.57,54432.9,60902.6,16.09,11772.11,44565.57,9867.33,1904.78,18.13,83.82,29596.95,25119.04,4477.91
2_2_10_4,21500.22,18.52,17119.66,4411.86,2079.71,173690.94,122336.44,17.87,32285.76,144099.72,29591.22,2694.54,17.04,91.65,79550.38,66122.02,13428.36
2_2_10_5,0.0,6949.32,4548.81,1566.54,23835.42,55312.84,60382.74,16.97,11564.23,45438.02,9874.82,1689.42,17.85,85.39,29735.58,25254.62,4480.96
2_2_11_4,19606.25,4.6,19443.25,4444.13,2065.79,174152.83,121375.9,18.69,31864.93,144808.66,29344.17,2520.76,16.85,92.09,79756.71,66444.63,13312.08
2_2_11_5,0.0,5520.98,5248.73,1619.6,22407.08,56065.82,59872.5,17.8,11377.22,46252.23,9813.6,1563.63,17.5,86.26,29821.4,25370.44,4450.97
2_2_12_4,17546.88,0.1,21964.82,4493.24,2061.3,174664.15,120968.33,19.51,31627.71,145397.96,29266.19,2361.52,16.76,92.53,79984.29,66709.14,13275.16
2_2_12_5,0.0,4293.82,6107.49,1721.18,21179.93,57026.16,59612.23,18.62,11275.05,47185.7,9840.46,1434.59,17.26,87.28,30038.9,25575.94,4462.96
2_3_0_4,40569.51,8739.2,7216.57,3884.67,11097.84,182347.23,126549.52,8.32,34874.31,151880.61,30466.62,4407.69,16.71,87.36,73755.11,61983.58,11771.53
2_3_0_5,0.0,35171.3,654.28,1673.22,55332.57,51531.24,67174.43,7.46,15020.22,42059.94,9471.3,5548.92,18.38,63.06,30299.22,26620.16,3679.07
2_3_1_4,35352.19,6902.82,9868.32,3840.63,9261.46,179737.62,124743.87,9.9,34041.11,149935.94,29801.69,4239.42,16.58,87.55,72401.12,60890.04,11511.08
2_3_1_5,0.0,29093.87,1193.55,1555.96,49255.14,51953.25,66017.62,9.05,14549.02,42554.02,9399.23,5149.79,18.09,64.6,29379.28,25728.61,3650.66
2_3_2_4,34546.55,6570.58,10472.48,3833.87,8929.22,179529.37,123287.86,10.25,33504.06,150149.36,29380.01,4124.05,16.37,87.69,72260.02,60914.11,11345.91
2_3_2_5,0.0,28169.44,1324.1,1548.21,48330.71,52076.05,65141.13,9.41,14247.0,42808.22,9267.82,4979.18,17.8,65.05,29262.62,25664.02,3598.6
2_3_3_4,33908.69,6292.81,10667.57,3827.07,8651.45,179079.81,123067.4,10.38,33419.54,149769.23,29310.58,4108.97,16.37,87.7,72030.94,60707.75,11323.19
2_3_3_5,0.0,27375.65,1388.41,1531.17,47536.92,52123.32,65009.08,9.54,14195.36,42850.76,9272.56,4922.81,17.79,65.32,29138.31,25536.36,3601.95
2_3_4_4,33904.92,6296.04,10678.55,3830.21,8654.69,179090.15,123744.78,10.39,33638.64,149591.85,29498.3,4140.34,16.47,87.69,72035.03,60635.93,11399.1
2_3_4_5,0.0,27356.65,1399.87,1532.8,47517.92,52136.41,65482.62,9.55,14352.1,42784.75,9351.65,5000.45,17.94,65.16,29139.53,25505.4,3634.13
2_3_5_4,35793.94,6752.75,9423.24,3834.41,9111.39,179728.05,123894.0,9.77,33777.87,150150.34,29577.71,4200.16,16.46,87.57,72367.88,60946.45,11421.43
