,drybulb_C,relhum_percent,atmos_Pa,dewpoint_C,glohorrad_Whm2,dayofyear,hour,hourly_clearness,daily_clearness,rise_set,row_number,persisted_index,local_solar_time,zenith,solar_alt,difhorrad_Whm2,dirnorrad_Whm2,totskycvr_tenths,opaqskycvr_tenths,windspd_ms
121,1.7,100.0,100338.59835173815,1.7,0,6,1,0.0,0.4700409378489021,Neither,121,0.0,0.7611440330632255,153.4740279570126,-63.474027957012595,0,-0.0,0,0,1.5297406026719367
122,1.7,100.0,100438.59835173815,1.7,0,6,2,0.0,0.4700409378489021,Neither,122,0.0,1.7611440330632255,147.3753826505358,-57.37538265053581,0,-0.0,4,4,3.6713774464126483
123,1.7,100.0,100438.59835173815,1.7,0,6,3,0.0,0.4700409378489021,Neither,123,0.0,2.7611440330632258,138.72457308703974,-48.724573087039744,0,-0.0,9,9,2.1416368437407116
124,2.2,100.0,100438.59835173815,2.2,0,6,4,0.0,0.4700409378489021,Neither,124,0.0,3.7611440330632258,128.96746371823482,-38.967463718234825,0,-0.0,9,9,1.5297406026719367
125,1.7,100.0,100438.59835173815,1.7,0,6,5,0.0,0.4700409378489021,Neither,125,0.0,4.761144033063226,118.85299220675306,-28.852992206753058,0,-0.0,8,8,2.6515503779646905
126,1.2,100.0,100438.59835173815,1.2,0,6,6,0.0,0.4700409378489021,Neither,126,0.0,5.761144033063226,108.8178725669815,-18.817872566981507,0,-0.0,1,1,2.1416368437407116
127,0.6,100.0,100538.59835173815,0.6,0,6,7,0.0,0.4700409378489021,Sunrise,127,0.3020833333333333,6.761144033063226,99.19309964681963,-9.193099646819633,0,-0.0,1,1,0.0
128,1.2,100.0,100638.59835173815,1.2,29,6,8,0.3020833333333333,0.4700409378489021,Neither,128,0.2339622641509434,7.761144033063226,90.30091077315785,-0.3009107731578524,26,0.0,3,3,0.0
129,2.2,100.0,100638.59835173815,2.2,124,6,9,0.4679245283018868,0.4700409378489021,Neither,129,0.390227417302799,8.761144033063225,82.50441982595824,7.495580174041763,89,268.30262528603845,3,3,0.0
130,2.7,100.0,100738.59835173815,2.7,188,6,10,0.47837150127226463,0.4700409378489021,Neither,130,0.5086403757389262,9.761144033063225,76.22546748422239,13.774532515777608,127,256.1929682203126,6,6,2.1416368437407116
131,3.9,100.0,100638.59835173815,3.9,256,6,11,0.5493562231759657,0.4700409378489021,Neither,131,0.504745916611236,10.761144033063225,71.91826616167934,18.08173383832066,148,347.967980565991,2,2,2.6515503779646905
